"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2680.85132947476","2831.50452940028","3252.89276978179","3952.89697025818","5336.53198542206","5796.65106560232","6201.1132146887","6339.85968017504","6744.21910789761","7449.09207817597","8196.05909529227","9711.14512333034","10252.3743301705","9364.85160786727","10055.7411913918","9116.69915811023","9072.39339960502","9279.55159918046","11438.4129742986","14146.546476376","14189.8573763058","14643.4462683378","14467.1296422778","13967.0180405875","14442.8621892205","16063.7503596684","17321.8537099033","18611.9664064041","16962.5985907648","16334.3649060255","17058.2797406884","15451.3991400392","15990.9760382406","18734.0599180582","24240.3587171554","26511.1883380391","27847.649373","31260.1041325905","37805.4807944742","33347.3823240562","40233.3256275756","48283.0259530052","53474.8505582387","53920.0370293533","48738.7479734066","44352.1378460602","39137.3003580273","42036.7964195284","44300.5622771677","42151.0863753148","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1760.36640666307","2033.99993086894","2496.95837123681","3329.74306576726","3957.17097482013","4499.22909141524","4852.85976691475","5795.952730688","6952.56888316491","8309.59347499873","9171.8085095202","7862.68023421888","7895.66274170665","8038.92652581181","7569.36523782768","7734.69079232422","10998.8356946043","13765.7374609857","14865.0576486881","14798.2920589851","18396.4358635312","18879.4280234961","20991.2081719606","20248.4726256312","21548.5845679632","25393.9100650332","25034.8738923861","22290.7313839636","22794.0377099857","22352.315349012","20343.7051465449","20129.1744188594","21823.3940247457","26670.5081017568","30565.8466748113","31856.8771645883","33977.9108774539","39129.3668849384","43491.8699149464","39512.1933578855","39003.6633009568","42581.45348096","39996.8595446505","41700.6822109753","42432.3012710663","35815.1363649335","37186.2483205641","38448.4183463291","41712.2012661055","41179.5489288613","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449.039055029628","406.416640288314","361.482235047106","435.078359924846","550.868973570793","651.360090637376","739.464243712711","941.078515049595","1355.27177587932","2041.61742261658","3143.72355439036","3308.67986470109","3834.85977594109","4640.94868450648","5148.23690531603","5698.29173550447","5988.91633141247","4424.79096270659","2997.66745341727","3173.62533641056","3359.63815247828","3501.65035580474","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","171.061761225932","177.499277360207","171.807742063904","187.314449527954","163.872517458098","186.906557777222","183.306829966259","163.25584814597","150.893910305614","151.043998836995","145.560833823144","149.797769341181","132.985578884906","112.360950218074","104.464168767874","99.3266184972632","77.4848639472582","94.0961418229698","82.3051019062232","87.5039805068385","96.3250862806641","85.9115397319746","72.0868604522315","47.8617214605791","65.6017806358256","84.4517793658457","101.836119983812","91.3099285668491","104.982987502027","116.825798288955","145.630773534271","152.665392160956","174.276229750549","181.142129793288","194.107529010443","220.475855354067","199.684946301264","207.326512987769","203.641341525389","199.887675605997","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2401.32693910631","2679.96381847189","3334.90464303532","4284.6948777947","4998.573003262","5846.21994758613","6358.81928121668","7323.83221564101","8930.94075235348","10181.8676156169","10834.0471756418","8877.93943338849","7762.43626455523","7346.52150337387","7084.75217867781","7371.61890495228","10301.5932034656","12879.0505259577","14025.9337083099","14100.3500461728","17608.3703822779","18009.5859632459","19967.2559223263","19212.4888731167","21096.821018972","24609.3643838088","23720.530574893","21434.1014630851","21835.9689903146","21652.6988011252","19805.4273196605","19527.9979175238","21086.2679070114","25824.6299709624","29722.6800214311","30803.4478863693","32307.6660996151","36933.6044976338","40253.5846991659","36728.1787445318","36309.1058843981","38241.6815661999","36970.1081456662","38775.524570248","39500.7620024417","33795.2647748051","34512.8304615845","36348.2916745025","39098.0855401263","38162.8622895175","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","106.404708778644","127.917437859599","154.389380999833","166.724450617563","196.764774655785","195.37534535685","205.487053898956","246.609846167909","307.411019981625","353.518165877312","317.564613466735","296.918069693753","244.855868649089","222.168860559358","217.765307078689","272.590206241045","306.185150096327","309.839791514698","270.402916969512","341.569419368384","334.207380079074","261.060043826222","342.919728014529","219.953453445385","287.583284642894","298.770343428609","282.034456824232","298.945399732405","446.830582437259","418.510461891888","426.387940740862","473.692720007698","586.996718128146","666.21221345988","693.104027037912","719.825571950174","811.138560211576","942.810444914296","902.745838465921","860.462411709359","948.051813782631","967.15802750584","1076.57578828867","1115.4855033154","930.889738608994","938.721048791485","974.086870822582","1076.95151366047","1058.61679238682","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","266.073011691474","237.852395514701","227.719506235272","201.177097174385","177.915452579689","184.746416547416","235.302204136238","265.201196800068","284.535923841295","276.332416065648","318.021660180148","312.783394516612","214.648009197185","217.956330810466","167.251151370487","203.63020663462","217.751641970492","198.739353563269","220.908644428758","270.616796433654","235.497098794399","246.433269025158","270.225226668557","342.356381567844","377.517510287393","406.132893243215","419.271549931839","468.742281580954","556.275929446081","527.277011999388","529.465259712139","592.392210732134","617.690775735476","645.756931033895","639.832857916014","524.212709232293","555.196451208685","595.398837548921","672.840166494614","672.730825720067","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.139698776011","168.320063173224","254.486774402982","128.86988316413","117.611655107856","158.878783515586","183.268096772495","208.666447919117","231.30875395828","205.95951288789","193.499934988038","202.657769369668","230.220167268027","219.51212921092","239.596983022103","254.812354854142","269.040357275635","287.396673254064","275.582365605107","276.53421431145","284.35536322185","284.586967383566","312.634029700602","372.962651541355","380.79759045704","386.467158968574","389.231770100131","398.026078925451","393.692280293558","395.984411585857","428.259416325045","457.904967716312","481.264393313116","491.734003786616","543.310676032617","627.368864008133","695.066932882326","774.89199640392","850.610142396831","876.366901177202","972.921720954804","1091.48120413419","1217.8435479379","1360.20678367384","1493.55479567688","1626.52865987172","1777.27642581804","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1888.53042862942","1896.81368140793","1843.56385214589","1582.68059982115","1681.71835880595","1634.38094020257","1930.77301781434","2664.26955811535","2090.67458312229","2030.27824200812","1831.62403245206","956.256680873827","1028.77177032026","1080.35160960482","1001.31333370463","2062.35613392798","1321.46944935224","1231.21021707598","1601.11033113827","1440.23551644941","1374.19751949407","1546.0817887302","1857.59826742232","2372.05558089534","2944.16398863549","3337.41810693413","3733.51100993014","4613.11530371111","5974.22144250146","5760.17845679052","5585.11646450617","6372.79924401784","6211.65789045905","6398.93886196659","6621.88361984829","5804.81308896592","6220.40574380797","6927.82714896913","7747.2401123215","8260.45733984195","",
