Country,Country Code,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
Ecuador,ECU,75.1,42,100,13.8,0.4,36,15,11.4,2.8,15,6.5,57.3
"Egypt, Arab Rep.",EGY,NA,60.7,100,5.7,0.7,10.6,88.1,1.2,2.2,11.6,2.5,45
El Salvador,SLV,NA,NA,99.5,24.4,0.1,NA,24.7,6.4,1,2.2,105.4,33.8
Equatorial Guinea,GNQ,NA,NA,67.2,7.8,NA,66.2,54.5,NA,4.8,1.8,NA,26.2
Eritrea,ERI,NA,NA,48.4,79.8,NA,NA,48.7,NA,0.2,3,NA,1.3
Estonia,EST,93.3,97.4,100,27.5,1.5,NA,6.8,15.2,14.8,19.5,3.4,88.1
Ethiopia,ETH,11.4,NA,44.3,92.2,0.3,73.9,39.2,9.3,0.1,18.5,NA,18.6
Faroe Islands,FLK,NA,NA,100,7.5,NA,NA,NA,NA,12.5,0,NA,97.6
Fiji,FJI,NA,NA,96,31.3,NA,NA,11.1,8.1,1.4,1,2.3,50
Finland,FIN,99.6,99.2,100,43.2,2.9,NA,5.9,10.2,8.7,14.2,1.5,87.5
France,FRA,97.9,88.4,100,13.5,2.3,NA,11.9,9.3,4.6,33.2,1.6,80.5
French Polynesia,PYF,NA,NA,100,9.8,NA,NA,NA,NA,3,0,NA,72.7
Gabon,GAB,NA,NA,92.2,82,NA,37,43.7,NA,2.8,25.1,NA,62
"Gambia, The",GMB,NA,NA,56.2,51.5,NA,34.8,32.6,NA,0.3,1.4,NA,19.8
Georgia,GEO,80,27.2,100,28.7,0.3,NA,21.8,12.5,2.4,6.4,1,59.7
Germany,DEU,99.8,97.2,100,14.2,2.9,NA,11.9,14.1,8.9,38.8,0.8,84.4
Ghana,GHA,36.4,NA,79,41.4,NA,37.9,36.3,-8.4,0.5,7.8,1.9,39
Greece,GRC,100,90.4,100,17.2,1,NA,16.3,-3.1,6.2,11,0.8,70.5
Greenland,GRL,96.7,94.8,100,15.5,NA,NA,11.6,NA,9,22.4,7.1,69.5
Grenada,GRD,87.1,NA,94.7,10.9,NA,NA,22.9,NA,2.2,0.2,5.6,59.1
Guam,GUM,99.5,NA,100,0,NA,NA,11.7,NA,NA,0.1,NA,80.5
Guatemala,GTM,56,NA,93.3,63.7,0,34.5,23.8,1.9,1.2,10.1,29.4,65
Guinea,GIN,NA,NA,35.4,76.3,NA,43.3,24.8,-6.5,0.2,24.8,NA,18
Guinea-Bissau,GNB,NA,NA,26,86.9,NA,82.3,29.6,-11,0.2,11.6,2.7,3.9
Guyana,GUY,NA,NA,90.9,25.3,NA,33.1,22.4,14.1,2.6,5.3,19.4,37.3
Haiti,HTI,NA,NA,43.8,76.1,NA,74.4,15.1,17.6,0.3,0.4,10,12.3
